model,step,step_label,n_cases,mean_confidence_pct,letter_stability_pct,note
Claude Opus 4.7,0,full,13,96.9,100.0,
Claude Opus 4.7,1,laterality_drop,13,96.9,69.2,
Claude Opus 4.7,2,anatomy_drop,13,95.4,53.8,
Claude Opus 4.7,3,skeleton,13,100.0,61.5,
GPT-4o,0,full,13,87.7,100.0,
GPT-4o,1,laterality_drop,13,89.2,84.6,
GPT-4o,2,anatomy_drop,13,76.9,46.2,
GPT-4o,3,skeleton,13,78.5,23.1,
Gemini 3.1 Flash-Lite,0,full,13,100.0,100.0,
Gemini 3.1 Flash-Lite,1,laterality_drop,13,93.8,100.0,
Gemini 3.1 Flash-Lite,2,anatomy_drop,13,100.0,92.3,
Gemini 3.1 Flash-Lite,3,skeleton,13,100.0,76.9,
