model,step,step_label,n_cases,refusal_pct,switch_from_s0_pct,letter_stability_pct,note
Claude Opus 4.7,0,full,13,0.0,0.0,100.0,
Claude Opus 4.7,1,roi_33%_masked,13,7.7,61.5,38.5,
Claude Opus 4.7,2,roi_67%_masked,13,23.1,61.5,38.5,
Claude Opus 4.7,3,roi_100%_masked,13,53.8,61.5,38.5,strong evidence-loss recognition
GPT-5.5,0,full,13,0.0,0.0,100.0,
GPT-5.5,1,roi_33%_masked,13,23.1,23.1,76.9,
GPT-5.5,2,roi_67%_masked,13,38.5,46.2,53.8,
GPT-5.5,3,roi_100%_masked,13,53.8,69.2,30.8,
Gemini 3 Flash,0,full,13,0.0,0.0,100.0,
Gemini 3 Flash,1,roi_33%_masked,13,7.7,15.4,84.6,
Gemini 3 Flash,2,roi_67%_masked,13,15.4,23.1,76.9,
Gemini 3 Flash,3,roi_100%_masked,13,30.8,53.8,46.2,weakest refusal climb
