model,model_label,tier,acc_sigma0,acc_sigma2,acc_sigma4,acc_sigma8,acc_sigma16,acc_sigma32,acc_sigma64,acc_noimg,drop,L_star
gpt-4o,GPT-4o,all,59.121599999999994,58.7838,50.3378,46.2838,34.4595,18.5811,14.8649,5.0676,54.053999999999995,64
gpt-4o,GPT-4o,L1,91.04480000000001,89.5522,86.5672,82.08959999999999,62.686600000000006,44.7761,28.3582,2.9851,88.0597,
gpt-4o,GPT-4o,L2,61.290299999999995,64.5161,54.838699999999996,38.709700000000005,19.3548,9.6774,3.2258,9.6774,51.612899999999996,16
gpt-4o,GPT-4o,L3,49.152499999999996,48.3051,38.1356,33.8983,24.5763,12.711900000000002,14.4068,6.7797,42.3728,32
gpt-4o,GPT-4o,L4,46.511599999999994,37.2093,39.5349,37.2093,27.907,9.302299999999999,9.302299999999999,0.0,46.511599999999994,32
gpt-4o,GPT-4o,L5,45.9459,56.7568,32.4324,37.8378,35.1351,8.1081,8.1081,5.4054,40.5405,32
claude-sonnet-4-6,Claude Sonnet 4.6,all,65.8784,65.20270000000001,56.41890000000001,47.6351,30.743199999999998,14.1892,4.0541,9.1216,56.7568,32
claude-sonnet-4-6,Claude Sonnet 4.6,L1,88.05969999999999,85.0746,83.5821,73.1343,53.731300000000005,29.850700000000003,11.940299999999999,2.9851,85.07459999999999,64
claude-sonnet-4-6,Claude Sonnet 4.6,L2,64.5161,64.5161,45.1613,48.3871,38.709700000000005,25.8065,12.9032,16.128999999999998,48.3871,64
claude-sonnet-4-6,Claude Sonnet 4.6,L3,65.2542,62.7119,52.5424,38.1356,19.491500000000002,6.7797,0.0,8.4746,56.779599999999995,16
claude-sonnet-4-6,Claude Sonnet 4.6,L4,51.1628,53.488400000000006,46.511599999999994,41.8605,30.232599999999998,9.302299999999999,0.0,13.9535,37.2093,32
claude-sonnet-4-6,Claude Sonnet 4.6,L5,45.9459,51.351400000000005,40.5405,37.8378,18.9189,5.4054,0.0,10.8108,35.1351,32
Qwen--Qwen3.5-397B-A17B,Qwen3.5-397B,all,50.3378,49.6622,47.973,35.8108,17.2297,7.7703,7.4324,9.7973,40.5405,16
Qwen--Qwen3.5-397B-A17B,Qwen3.5-397B,L1,83.5821,83.5821,77.6119,59.701499999999996,46.2687,25.373099999999997,17.910400000000003,8.955200000000001,74.62689999999999,64
Qwen--Qwen3.5-397B-A17B,Qwen3.5-397B,L2,41.9355,41.9355,45.1613,32.2581,19.3548,6.4516,32.2581,9.6774,32.2581,32
Qwen--Qwen3.5-397B-A17B,Qwen3.5-397B,L3,38.9831,40.678,38.9831,27.118599999999997,5.9322,2.5423999999999998,0.0,11.0169,27.9662,16
Qwen--Qwen3.5-397B-A17B,Qwen3.5-397B,L4,48.837199999999996,44.186,34.8837,32.5581,6.976699999999999,2.3255999999999997,0.0,4.651199999999999,44.18599999999999,16
Qwen--Qwen3.5-397B-A17B,Qwen3.5-397B,L5,35.1351,29.729699999999998,40.5405,27.027,10.8108,0.0,0.0,13.5135,21.6216,16
huatuogpt-vision-7b,HuatuoGPT-V 7B,all,55.40540000000001,56.08109999999999,52.7027,42.9054,28.0405,17.5676,13.1757,20.6081,34.79730000000001,32
huatuogpt-vision-7b,HuatuoGPT-V 7B,L1,83.5821,83.5821,74.62689999999999,56.7164,35.8209,8.955200000000001,1.4925000000000002,8.955200000000001,74.62689999999999,32
huatuogpt-vision-7b,HuatuoGPT-V 7B,L2,38.709700000000005,41.9355,38.709700000000005,29.0323,19.3548,9.6774,12.9032,9.6774,29.032300000000006,32
huatuogpt-vision-7b,HuatuoGPT-V 7B,L3,47.4576,49.152499999999996,46.6102,38.9831,27.9661,23.7288,16.9492,27.9661,19.4915,16
huatuogpt-vision-7b,HuatuoGPT-V 7B,L4,53.488400000000006,51.1628,51.1628,41.8605,27.907,23.255799999999997,16.2791,32.5581,20.930300000000003,16
huatuogpt-vision-7b,HuatuoGPT-V 7B,L5,45.9459,45.9459,45.9459,43.2432,21.6216,13.5135,18.9189,13.5135,32.4324,32
